List Name,Rank,Primary Isbn,Publisher,Description,Title,Author,Book_image,Book_url
Hardcover Fiction,1,0765326388,Tor,The fourth book in the Stormlight Archive series. Technological discoveries and an ensuing arms race change how a war is fought.,RHYTHM OF WAR,Brandon Sanderson,https://s1.nyt.com/du/books/images/9780765326386.jpg,https://www.amazon.com/dp/0765326388?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,2,1538761696,Grand Central,The F.B.I. agent Atlee Pine’s search for her twin sister overlaps with a military investigator’s hunt for someone involved in a global conspiracy.,DAYLIGHT,David Baldacci,https://s1.nyt.com/du/books/images/9781538761694.jpg,https://www.amazon.com/dp/1538761696?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,3,0385545967,Doubleday,"The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.",A TIME FOR MERCY,John Grisham,https://s1.nyt.com/du/books/images/9780385545969.jpg,https://www.amazon.com/dp/0385545967?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,4,0316485624,"Little, Brown",The sixth book in the Mickey Haller series. Haller defends himself when police find the body of a former client in his car’s trunk.,THE LAW OF INNOCENCE,Michael Connelly,https://s1.nyt.com/du/books/images/9780316485623.jpg,https://www.amazon.com/dp/0316485624?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,5,1538728575,Grand Central,A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.,THE RETURN,Nicholas Sparks,https://s1.nyt.com/du/books/images/9781538728574.jpg,https://www.amazon.com/dp/1538728575?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,7,isbn10 mus,Delacorte,Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.,THE SENTINEL,Lee Child and Andrew Child,https://s1.nyt.com/du/books/images/9781984818461.jpg,https://www.amazon.com/dp/1984818465?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,8,1982154837,Atria,The 27th book in the Stephanie Plum series. Stephanie deals with a soldier of fortune from Little Havana.,FORTUNE AND GLORY,Janet Evanovich,https://s1.nyt.com/du/books/images/9781982154837.jpg,https://www.amazon.com/dp/1982154837?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,6,0399179682,Delacorte,"Just as Coco is about to graduate from Columbia, tragic events in her family send her on a journey of self-discovery.",ALL THAT GLITTERS,Danielle Steel,https://s1.nyt.com/du/books/images/9780399179686.jpg,https://www.amazon.com/dp/0399179682?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,9,0593188098,Putnam,"A missing scientist, strange noises under the Arctic ice and a mole who infiltrated American intelligence bedevil President Jack Ryan.",TOM CLANCY: SHADOW OF THE DRAGON,Marc Cameron,https://s1.nyt.com/du/books/images/9780593188095.jpg,https://www.amazon.com/dp/0593188098?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,11,1982135603,Simon & Schuster,A debut collection of poems by the Grammy Award-nominated musician.,I WOULD LEAVE ME IF I COULD,Halsey,https://s1.nyt.com/du/books/images/9781982135607.jpg,https://www.amazon.com/dp/1982135603?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,12,0525536299,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,THE VANISHING HALF,Brit Bennett,https://s1.nyt.com/du/books/images/9780525536291.jpg,https://www.amazon.com/dp/0525536299?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,13,0735219095,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",WHERE THE CRAWDADS SING,Delia Owens,https://s1.nyt.com/du/books/images/9780735219090.jpg,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBS-20
Hardcover Fiction,14,1501160834,Atria,A failed bank robber holds a group of strangers hostage at an apartment open house.,ANXIOUS PEOPLE,Fredrik Backman,https://s1.nyt.com/du/books/images/9781501160837.jpg,https://www.amazon.com/dp/1501160834?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,10,198213254X,Simon & Schuster,"As their wedding approaches, a television producer and her fiancée must search for his missing 7-year-old nephew.",PIECE OF MY HEART,Mary Higgins Clark and Alafair Burke,https://s1.nyt.com/du/books/images/9781982132545.jpg,https://www.amazon.com/dp/198213254X?tag=NYTBSREV-20&tag=NYTBS-20
Hardcover Fiction,15,0593087917,Putnam,The 15th book in the Oregon Files series. A billionaire's dying wish bestows a paralyzing chemical to a terrorist group.,MARAUDER,Clive Cussler and Boyd Morrison,https://s1.nyt.com/du/books/images/9780593087916.jpg,https://www.amazon.com/dp/0593087917?tag=NYTBSREV-20&tag=NYTBS-20